task_id,task_name_EN,end-effector,total_action-slices,duration(s),scenarios,example of action_text
365,Sort personal care products,grippers,2515,25s~50s,Industry,"['Retrieve moisturizing oil from bottom left of the material frame with the left arm.(Pick)', 'Place the moisturizing oil held in the left arm into the blue target box on the left.(Place)', 'Retrieve pink soap from right material frame with the right arm.(Pick)', 'Pass the pink soap with both hands.(HandOver)', 'Place the pink soap held in the left arm into the blue target box on the left.(Place)']"
366,Sort food,grippers,3640,40s~50s,Industry,"['Retrieve sunflower seeds from top-left corner of the material frame with the left arm.(Pick)', 'Place the sunflower seeds held in the left arm into the left blue target box.(Place)', 'Retrieve spicy red duck neck from bottom right corner of the material frame with the right arm.(Pick)', 'Pass the spicy red duck neck with both hands.(HandOver)', 'Place the spicy red duck neck held in the left arm into the left blue target box.(Place)']"
367,Take toast from toaster,grippers,1028,30s~46s,Home,"['Pick up the plain toast from the front card slot white toaster with left arm.(Pick)', 'Place the toast on the plate.(Place)', 'Pick up the plain toast from the slot after taking the white toaster.(Pick)', 'Place the toast on the plate.(Place)']"
368,Cook vegetables with oven,grippers,7056,50s~107s,"Home, Restaurant","['Grasp the oil brush from the dish with the right arm.(Pick)', 'Brush the baking pan with the oil brush held in the right arm.(Brush)', 'Place the oil brush back into the oil dish.(Place)', 'Grasp the seasoning bottle with the right arm.(Pick)', 'Pour the seasoning held in the right arm onto the steak on the baking tray.(Pour)', 'Place the seasoning bottle back on the table with the right arm.(Place)', 'Open the oven door with both hands.(Open)', 'Lift the baking tray containing steak with the right arm.(Pick)', 'Place the baking tray containing steak at the oven door with the right arm.(Place)', 'Push the baking tray containing steak into the oven with the right arm.(Push)', 'Close the oven door with the right arm.(Push)', 'Press the oven start button with the right arm.(PressButton)']"
372,Packing in the supermarket,grippers,4833,45s~72s,Supermarket,"['Grasp the left arm with blue nylon bag.(Grasp)', 'Grab the iced tea on the table with the right arm.(Pick)', 'Place the grasped iced tea into blue nylon bag.(Place)', 'Grasp the yogurt bowl on the table with the right arm.(Pick)', 'Place the grasped yogurt bowl into blue nylon bag.(Place)', 'Retrieve the pork jerky from the table with the right arm.(Pick)', 'Place the grasped pork jerky into blue nylon bag.(Place)', 'Grab the mouthwash on the table with the right arm.(Pick)', 'Place the grasped mouthwash into blue nylon bag with the right arm.(Place)']"
374,Sort laundry and personal care products,grippers,182,12s~24s,Industry,"['Lift the wash and care set in the top-left corner of the material frame with the left arm.(Pick)', 'Place the held wash and care set in the left blue target box.(Place)']"
375,Brew tea,grippers,3376,55s~110s,Home,"['Lift the right arm with white teapot.(Pick)', 'Pour the water from white teapot into the cup.(Pour)', 'Place the right arm back on the table.(Place)', 'Lift the tea bag with the left arm.(Pick)', 'Pass the tea bag with both hands.(HandOver)', 'Dip the tea bag into the cup and lift it out.(dip)', 'Dip the tea bag into the cup and lift it.(dip)', 'Place the tea bag in the cup with the right arm, leaving the tea bag tag outside the cup.(Place)']"
376,Sort electronic products,grippers,2015,25s~50s,Industry,"['Retrieve smart charger from bottom left of the material frame with the left arm.(Pick)', 'Pass the smart charger with both hands.(HandOver)', 'Place the held smart charger into the right blue target box.(Place)', 'Retrieve ethernet cable with the right arm from top right corner of the material frame.(Pick)', 'Place the ethernet cable held in the right arm into the blue target box on the right.(Place)']"
377,Packing in e-commerce,grippers,4764,80s~160s,Industry,"['Pick up the air column film outside the carton.(Pick)', 'Place the air column film into the carton.(Place)', 'Pick up trash bag with right arm.(Pick)', 'Place the held trash bag into the carton.(Place)', 'Pick up the air column film outside the cardboard box.(Pick)', 'Place the air column film into the carton on trash bag.(Place)']"
378,Clear table in the restaurant,grippers,8868,55s~111s,Restaurant,"['Coordinate arms to place the tray on the counter.(Place)', 'Pick up the fork on the table.(Pick)', 'Place the held fork onto the dining plate on the table.(Place)', 'Pick up the bowl on the table.(Pick)', 'Place the bowl on the plate on the counter.(Place)', 'Pick up the plate on the table.(Pick)', 'Stack the held plate onto the bowl in the dining tray.(Stack)', 'Pick up the cup on the table.(Pick)', 'Place the held cup onto the tray on the counter.(Place)', 'Pick up the napkin on the table.(Pick)', 'Place the held napkin into the plate on the table.(Place)', 'Coordinate arms to lift the tray.(Pick)']"
380,Packing in e-commerce,grippers,6520,100s~200s,Industry,"['Pick up the air column film outside the carton.(Pick)', 'Place the air column film into the cardboard box.(Place)', 'Pick up small bottle mineral water.(Pick)', 'Place the held small bottle mineral water into the carton.(Place)', 'Pick up crispy potato chips with right arm.(Pick)', 'Place the held crispy potato chips into the cardboard box.(Place)', 'Pick up the air column film outside the cardboard box.(Pick)', 'Place the air column film held by right arm onto the items in the carton.(Place)']"
384,Insert a book into the bookshelf,grippers,3232,38s~76s,Home,"['Lift the horizontally placed book on the shelf with the right arm.(Pick)', 'Push aside the books on the shelf with the left arm.(Push)', 'Insert the book held in the right arm into the gap cleared by the left arm on the shelf.(Insert)', 'Push the misplaced book on the shelf to the end with your right arm.(Push)']"
385,Pickup in the supermarket produce section,grippers,1284,30s~48s,Supermarket,"['Retrieve potato from the shelf.(Pick)', 'Place the held potato into the plastic bag in the shopping cart.(Place)', 'Retrieve potato from the shelf.(Pick)', 'Place the held potato into the plastic bag in the shopping cart.(Place)', 'Retrieve potato from the shelf.(Pick)', 'Place the held potato into the shopping carts plastic bag.(Place)']"
388,Pickup in the supermarket,grippers,552,36s~76s,Supermarket,"['Open the freezer door.(Pull)', 'Take crab stick.(Pick)', 'Place the held crab stick into the shopping cart.(Place)', 'Retrieve bacon.(Pick)', 'Place the held bacon into the shopping cart.(Place)', 'Close the freezer door.(Close)']"
389,Pickup in the supermarket,grippers,1248,26s~52s,Supermarket,"['Retrieve the fruit and vegetable juice from the cold storage cabinet.(Pick)', 'Place the held fruit and vegetable juice into the shopping cart.(Place)', 'Retrieve the packaged yogurt from the cold storage cabinet.(Pick)', 'Place the held packaged yogurt into the shopping cart.(Place)']"
390,Checkout and scan barcode in the supermarket,grippers,8250,71s~140s,Supermarket,"['Grab the barcode scanner on the counter with the right arm.(Pick)', 'Lift the round bottle yogurt on the cashier counter with the left arm.(Pick)', 'Aim the barcode scanner at the barcode of the held round bottle yogurt with the right arm.(Scan)', 'Place the held round bottle yogurt back on the counter.(Place)', 'Lift the salty peach meat on the counter with the left arm.(Pick)', 'Scan the barcode of the held salty peach meat with the right arm using the scanner.(Scan)', 'Place the salty peach meat held in the left arm back onto the cashier counter.(Place)', 'Lift the scouring pad on the counter with the left arm.(Pick)', 'Scan the barcode of the held scouring pad with the right arm using a barcode scanner.(Scan)', 'Place the scouring pad held in the left arm back onto the cashier counter.(Place)', 'Place the barcode scanner back on the counter.(Place)']"
392,Brush water bottle,grippers,14655,111s~222s,Home,"['Lift the object on the table with the left arm.(Pick)', 'Empty the water from the water cup held in the left arm.(Pour)', 'Place the water cup held in the left arm under the faucet.(Hold)', 'Turn on the faucet with the right arm.(Pull)', 'Turn off the faucet with the right arm.(Push)', 'Grab the cup brush from the storage box on the counter with the right arm.(Pick)', 'Scrub the water cup held in the left arm with the cup brush in the right arm.(Brush)', 'Place the cup brush back into the storage box on the counter with the right arm.(Place)', 'Empty the water from the water cup held in the left arm.(Pour)', 'Place the water cup held in the left arm under the faucet.(Hold)', 'Turn on the faucet with the right arm.(Pull)', 'Turn off the faucet with the right arm.(Push)', 'Swing the left arm holding water cup.(Shake)', 'Empty the water from the water cup held in the left arm.(Pour)', 'Place the water cup held in the left arm back onto the table.(Place)']"
398,Sort clothes,grippers,865,25s~50s,Industry,"['Retrieve blue long-sleeve shirt with the right arm from right material frame.(Pick)', 'Pass the blue long-sleeve shirt with both hands.(HandOver)', 'Place the blue long-sleeve shirt held in the left arm into the left gray target box.(Place)', 'Retrieve blue-black casual trousers from left material frame with the left arm.(Pick)', 'Place the blue-black casual trousers held in the left arm into the left gray target box.(Place)']"
410,Water Pouring in Restaurant,grippers,3273,25s~49s,Restaurant,"['Lift the left arm with gray water bottle.(Pick)', 'Pour the water from the held gray water bottle into the nearby cup.(Pour)', 'Place the gray water bottle held in the left arm back on the table.(Pour)']"
414,Hang clothes with hanger,grippers,14448,57s~120s,Home,"['Lift the right arm to grasp the wooden clothes hanger on the right side of the wooden clothes hanger.(Pick)', 'Grasp the collar with the left arm and lift the garment.(Pick)', 'Hang the clothes held in the left arm on the left side of wooden clothes hanger.(Hang)', 'Grasp the left arm with the left hand.(Grasp)', 'Release the right arm holding wooden clothes hanger.(Release)', 'Grasp the right collar with the right arm.(Grasp)', 'Hang the clothes held in the right arm on the right side of wooden clothes hanger.(Hang)']"
421,Pick up the item to wipe away the stain,grippers,6616,42s~93s,"Home, Restaurant","['Lift the cup on the table with the left arm.(Pick)', 'Grasp the cloth on the table and wipe the stain.(Wipe)', 'Lower the right arm to put away the cleaned cloth.(Place)', 'Lower the cup held in the left arm.(Place)']"
422,Pack items for industrial logistics,grippers,16712,44s~90s,Industry,"['Lift the air column film from the table with the right arm.(Pick)', 'Place the air column film into the logistics box with the right arm.(Place)', 'Grip the bottled coffee beverage on the conveyor belt with the left arm.(Pick)', 'Place the held bottled coffee beverage into the logistics box with the left arm.(Place)', 'Clamp the bottled coffee beverage on the conveyor belt with the left arm.(Pick)', 'Place the bottled coffee beverage held in the left arm into the logistics box.(Place)', 'Lift the air column film from the table with the right arm.(Pick)', 'Place the air column film into the logistics box above the product with the right arm.(Place)']"
424,Clear the countertop waste,grippers,8244,18s~90s,Home,"['Open the lid of desktop trash bin with the right arm.(Open)', 'Lift the right arm with paper ball.(Pick)', 'Throw the paper ball held in the right arm into the desktop trash bin.(Drop)', 'Lift the right arm with peel.(Pick)', 'Throw the peel held in the right arm into the desktop trash bin.(Drop)', 'Lift the left arm with outer packaging skin.(Pick)', 'Pass the outer packaging skin with both hands.(HandOver)', 'Throw the held outer packaging skin into desktop trash bin.(Drop)', 'Close the lid of desktop trash bin with the right arm.(Close)']"
440,Iron clothes,grippers,8696,70s~220s,Home,"['Lift the steam iron on the right side of the right arm.(Pick)', 'Stretch the left sleeve to the left hem of the garment.(Stretch)', 'Press the left side of the garment with the steam iron held in the right hand.(Iron)', 'Release the garment held by the left arm.(Release)', 'Stretch the left arm to the bottom seam of the garment.(Stretch)', 'Press the right side of the garment with the steam iron held in the right hand.(Iron)', 'Release the clothes held by the left arm.(Release)', 'Place the steam iron held in the right hand back into the slot on the right side of white garment steamer.(Place)']"
446,Transport table with another robot,grippers,360,54s~110s,Industry,"['Grasp the arms of white table.(Grasp)', 'Coordinate arms to lift the grasped white table.(Lift)', 'Move forward 20 centimeters.(Move)', 'Lower the grasped white table with both arms in coordination.(Lower)', 'Release the grasped white table with both arms.(Release)']"
475,Ironing Clothes,dexterous hands,7224,70s~220s,Home,"['Lift the steam iron on the right side of the right arm.(Pick)', 'Stretch the left sleeve to the left hem of the garment.(Stretch)', 'Press the left side of the garment with the steam iron held in the right hand.(Iron)', 'Release the garment gripped by the left arm.(Release)', 'Stretch the left arm to the bottom seam of the garment.(Stretch)', 'Press the right side of the garment with the steam iron held in the right hand.(Iron)', 'Release the clothes held by the left arm.(Release)', 'Place the steam iron held in the right hand back into the slot on the right side of white garment steamer.(Place)']"
